idx,fk_src,fk_gt,wc_src,wc_gt,avg_rouge,rouge_std,best_model,rouge_OpenBioLLM-8B,fk_OpenBioLLM-8B,wc_OpenBioLLM-8B,compression_OpenBioLLM-8B,rouge_Mistral-7B,fk_Mistral-7B,wc_Mistral-7B,compression_Mistral-7B,rouge_BioMistral-7B-DARE,fk_BioMistral-7B-DARE,wc_BioMistral-7B-DARE,compression_BioMistral-7B-DARE
0,12.922597402597404,7.26825187969925,386,399,0.6736828964385421,0.050802922757628335,OpenBioLLM-8B,0.7249683143219265,6.721525164310798,383,0.9598997493734336,0.6727037516170763,5.771717391304353,368,0.9223057644110275,0.6233766233766234,6.295794966236958,362,0.9072681704260651
1,13.75614478114478,6.259548494983278,216,299,0.6417055114403853,0.020681161550793477,Mistral-7B,0.6304347826086956,6.775826558265585,328,1.0969899665551839,0.6655737704918032,6.265960960960964,296,0.9899665551839465,0.6291079812206573,6.871384615384617,325,1.0869565217391304
2,12.421125541125544,7.042871621621622,169,222,0.7445215617901074,0.023383867706149277,OpenBioLLM-8B,0.7708333333333333,6.975042016806725,238,1.072072072072072,0.7366167023554604,6.8848888888888915,225,1.0135135135135136,0.7261146496815286,6.998245614035088,228,1.027027027027027
3,12.993743315508024,6.323693270735529,264,355,0.7484565776950869,0.022651244615818536,OpenBioLLM-8B,0.7723342939481267,6.493251533742335,326,0.9183098591549296,0.7272727272727272,6.871384615384617,325,0.9154929577464789,0.7457627118644068,6.879837080482243,341,0.9605633802816902
4,14.092540894220285,7.037555865921789,262,358,0.6571247393068359,0.021124837927246305,BioMistral-7B-DARE,0.6552217453505006,7.948568229083346,329,0.9189944134078212,0.6370157819225252,7.180515197568386,329,0.9189944134078212,0.679136690647482,6.973988641328091,327,0.9134078212290503
5,11.4430081300813,6.600671852899577,495,505,0.4267470618749781,0.033295016829278615,OpenBioLLM-8B,0.46187845303867403,4.412397660818716,342,0.6772277227722773,0.4227053140096619,5.273839423571797,268,0.5306930693069307,0.3956574185765983,4.6388032138146045,269,0.5326732673267327
6,13.280000000000005,8.400020304568528,177,197,0.818779411007343,0.027522990804498555,BioMistral-7B-DARE,0.832116788321168,7.647575322812052,205,1.0406091370558375,0.787128712871287,7.416500147797816,199,1.0101522842639594,0.8370927318295739,8.625927461139899,193,0.9796954314720813
7,15.277943262411345,5.815156794425086,188,246,0.6927785315701621,0.01653409222593738,BioMistral-7B-DARE,0.683651804670913,6.408511791813499,217,0.8821138211382114,0.6828193832599119,5.9229365577889475,199,0.8089430894308943,0.7118644067796611,6.354133911629166,217,0.8821138211382114
8,16.399294871794876,6.314444444444444,416,486,0.5975143985124108,0.020560321716656598,OpenBioLLM-8B,0.6173633440514469,7.682584033613448,425,0.8744855967078189,0.5763097949886105,6.403748563768669,373,0.7674897119341564,0.5988700564971752,6.603705658164763,379,0.779835390946502
9,11.486666666666668,5.078120617110802,228,248,0.7063775791680459,0.03242760414663885,Mistral-7B,0.6705653021442495,5.637401697557596,251,1.0120967741935485,0.7337526205450735,4.816061415220293,214,0.8629032258064516,0.7148148148148148,6.27207741935484,279,1.125
10,13.600411522633745,8.574285714285715,262,280,0.7272590182296249,0.03598175578111343,BioMistral-7B-DARE,0.7093235831809872,7.3120395437262395,263,0.9392857142857143,0.703770197486535,9.080495519240909,271,0.9678571428571429,0.7686832740213524,8.070665467625897,278,0.9928571428571429
11,11.88304347826087,6.022699386503071,230,326,0.6487084498346093,0.052757810783843166,BioMistral-7B-DARE,0.5957446808510639,8.29064336917563,279,0.8558282208588958,0.649122807017544,5.839099511599514,351,1.0766871165644172,0.7012578616352202,6.048947368421054,304,0.9325153374233128
12,15.50883701883702,8.296,228,236,0.6987059185641842,0.03526029603376383,OpenBioLLM-8B,0.7290836653386455,7.523993250843645,254,1.076271186440678,0.6600397614314115,7.058618925831205,255,1.0805084745762712,0.7069943289224953,7.832207792207793,280,1.1864406779661016
13,13.3126912568306,9.133449848024316,183,235,0.655757036072781,0.003642215386715116,OpenBioLLM-8B,0.6588235294117648,8.979256254225831,261,1.1106382978723404,0.6567164179104478,8.71892566782811,287,1.221276595744681,0.6517311608961304,8.985967213114758,244,1.0382978723404255
14,17.79703703703704,7.067412207357862,270,299,0.6456304805032541,0.030756109287520723,BioMistral-7B-DARE,0.6129541864139021,6.270428909152315,329,1.100334448160535,0.6499215070643641,5.686273369339428,332,1.1103678929765886,0.674015748031496,6.027034632034631,330,1.1036789297658862
15,14.810724070450103,8.632097288676238,297,285,0.6755075408224208,0.011334464674436053,BioMistral-7B-DARE,0.6811352253756261,8.219026915113876,294,1.0315789473684212,0.6624605678233438,8.175397667020153,328,1.1508771929824562,0.6829268292682927,7.593096774193551,310,1.087719298245614
16,13.655234301780691,7.251364509456266,291,423,0.6737434883773927,0.05423573760233483,OpenBioLLM-8B,0.7297921478060047,7.624915721957041,419,0.9905437352245863,0.6215235792019348,7.1225599925009355,381,0.900709219858156,0.6699147381242387,6.386716238906214,379,0.8959810874704491
17,15.575223880597019,6.574711246200607,402,470,0.5915036779595829,0.023543533467310383,Mistral-7B,0.5930232558139535,8.125083333333336,375,0.7978723404255319,0.6142506142506142,6.8412048192771096,332,0.7063829787234043,0.5672371638141809,7.114880952380954,336,0.7148936170212766
18,13.164451765946236,5.3982961460446255,273,340,0.6562655623601188,0.008912274195940565,BioMistral-7B-DARE,0.65527950310559,7.007908163265306,294,0.8647058823529412,0.6478873239436621,7.498579742057249,289,0.85,0.6656298600311042,5.853542857142859,294,0.8647058823529412
19,13.939028340080974,6.462917277486913,247,382,0.6540445977059779,0.04081304951161372,OpenBioLLM-8B,0.6927374301675978,5.3347339563862946,321,0.8403141361256544,0.657997399219766,6.6958602150537665,372,0.9738219895287958,0.6113989637305699,5.490408602150541,376,0.9842931937172775
20,14.789559845559847,6.821755631399316,260,293,0.6227891854669664,0.022929363706280962,OpenBioLLM-8B,0.6490939044481053,8.45020624303233,299,1.0204778156996588,0.6122448979591837,6.660014673514311,329,1.1228668941979523,0.6070287539936102,6.660268138801264,317,1.081911262798635
21,14.620063548551098,6.626967213114757,281,305,0.5891154295301947,0.004284221844501117,BioMistral-7B-DARE,0.5884244372990353,7.721384230656074,309,1.0131147540983607,0.5852187028657617,7.627136752136753,351,1.1508196721311474,0.5937031484257871,8.40235240793201,353,1.157377049180328
22,13.011688167259788,7.461891689168915,281,303,0.7195367994662419,0.020899230128183937,Mistral-7B,0.7165109034267912,8.322048690858981,311,1.0264026402640265,0.7417840375586855,8.18268796992481,304,1.0033003300330032,0.7003154574132492,7.2699424128995105,302,0.9966996699669967
23,15.651290322580646,8.461844660194174,310,412,0.592319458653454,0.023044782501921882,BioMistral-7B-DARE,0.5823754789272032,8.476778490977352,359,0.8713592233009708,0.5759162303664922,5.609131280057301,337,0.8179611650485437,0.6186666666666667,5.854395267309375,326,0.7912621359223301
24,12.380462962962966,6.471360164512337,434,592,0.5384939813315065,0.03831684939051016,OpenBioLLM-8B,0.5826170009551097,4.433586219647481,427,0.7212837837837838,0.5192697768762677,5.62060413354531,370,0.625,0.5135951661631419,5.259638966697793,378,0.6385135135135135
25,17.095359417652414,10.917664835164839,325,455,0.5458468185931952,0.0669402871566084,OpenBioLLM-8B,0.6225769669327252,9.16919786096257,408,0.8967032967032967,0.5155666251556663,9.920246759331565,337,0.7406593406593407,0.4993968636911942,6.922260273972604,365,0.8021978021978022
26,18.055370078740157,8.081234991423674,258,318,0.7013506710267601,0.03990229561197248,OpenBioLLM-8B,0.7468354430379747,7.366521739130437,310,0.9748427672955975,0.6849757673667205,8.743897581792321,296,0.9308176100628931,0.6722408026755853,8.253977250819357,273,0.8584905660377359
27,12.18177339901478,8.878029556650247,203,232,0.6769821993181986,0.03515592635997239,Mistral-7B,0.6939655172413793,7.670607142857147,224,0.9655172413793104,0.7004219409282699,8.546991452991453,234,1.0086206896551724,0.6365591397849463,6.722037815126054,224,0.9655172413793104
28,13.271004694835685,6.444868888512943,213,257,0.7417172286952677,0.019788627853114714,OpenBioLLM-8B,0.7644787644787644,6.18779987944545,237,0.9221789883268483,0.7320754716981133,5.723760162601625,246,0.9571984435797666,0.7285974499089254,6.570371586588319,263,1.0233463035019454
29,12.9690990990991,8.412566801619437,222,247,0.756372822740586,0.06648786446385,OpenBioLLM-8B,0.8313725490196078,8.236398406374505,251,1.0161943319838056,0.7330827067669173,9.134488017429195,270,1.0931174089068827,0.7046632124352332,8.496050632911395,316,1.2793522267206479
30,13.264923076923079,8.210876944837338,325,404,0.6643449075630116,0.007640695931951054,OpenBioLLM-8B,0.6730245231607629,5.934792993630573,314,0.7772277227722773,0.6613756613756614,5.4482635568513125,343,0.849009900990099,0.6586345381526104,6.279393939393945,330,0.8168316831683168
31,16.335460992907805,5.5247297297297315,248,296,0.7005512941176856,0.012645973814739062,OpenBioLLM-8B,0.7108239095315024,6.324440594059407,303,1.0236486486486487,0.7044025157232704,6.899035601622355,317,1.070945945945946,0.6864274570982839,5.155458885941645,325,1.097972972972973
32,13.44673838406958,8.498283171521038,257,309,0.7164764966177356,0.04055679617780223,OpenBioLLM-8B,0.7531645569620253,8.767298701298703,308,0.9967637540453075,0.7233384853168469,7.537003058103977,327,1.058252427184466,0.6729264475743348,7.116964598668073,317,1.0258899676375404
33,15.088597246127371,7.323142103069873,249,313,0.6792934440339531,0.012738314770725088,OpenBioLLM-8B,0.6934984520123839,6.399542857142858,329,1.0511182108626198,0.6688851913477537,6.396083916083917,286,0.9137380191693291,0.6754966887417219,6.459223709944336,289,0.9233226837060703
34,16.152777777777782,7.81940981093511,531,515,0.5759463880027378,0.07132094373437974,OpenBioLLM-8B,0.6574761399787911,7.22027573529412,425,0.8252427184466019,0.5251141552511417,7.283056382672175,359,0.6970873786407767,0.5452488687782806,10.293481654957066,366,0.7106796116504854
35,14.533689320388351,7.498975741239892,207,265,0.6402724118471047,0.018860075421568454,Mistral-7B,0.6463195691202872,7.991210317460318,288,1.0867924528301887,0.655367231638418,7.755189113468081,263,0.9924528301886792,0.6191304347826088,6.876488311688313,308,1.1622641509433962
36,14.278006535947714,7.309979288269631,459,565,0.5330606146312714,0.029586488162964497,OpenBioLLM-8B,0.5624365482233502,6.939595906586199,412,0.7292035398230089,0.5032679738562091,6.148585022361786,339,0.6,0.5334773218142549,6.7013926711139575,353,0.6247787610619469
37,12.991911764705886,7.539171009771987,278,307,0.6338561320103705,0.05513756054141616,Mistral-7B,0.6363636363636364,6.596671732522797,329,1.0716612377850163,0.6876971608832808,8.154154723127036,307,1.0,0.5775075987841946,7.024242424242427,330,1.0749185667752443
38,14.988051704758337,7.369586776859503,314,363,0.6535650648393342,0.07722905895644616,OpenBioLLM-8B,0.7427055702917772,7.254547619047621,375,1.0330578512396693,0.6068027210884355,6.101666666666667,360,0.9917355371900827,0.6111869031377899,6.589089635854343,357,0.9834710743801653
39,12.134080901177676,7.496057802002792,279,343,0.7836690081064536,0.03450577808462051,Mistral-7B,0.7863013698630138,7.431943661971832,355,1.0349854227405249,0.8167832167832166,7.424040920716113,340,0.9912536443148688,0.7479224376731303,7.7414025974025975,350,1.0204081632653061
40,17.924093536521287,7.937732732732734,346,333,0.5264348083569822,0.022338238737199582,Mistral-7B,0.533724340175953,7.49645238095238,336,1.009009009009009,0.5442176870748299,4.989891225525742,395,1.1861861861861862,0.5013623978201635,6.89957474226804,388,1.165165165165165
41,49.50933179723502,9.173677419354842,234,279,0.704297472329916,0.03278283556514429,Mistral-7B,0.6878306878306879,6.823913043478264,278,0.996415770609319,0.7420494699646643,7.2332956989247315,279,1.0,0.6830122591943958,7.274056338028171,284,1.017921146953405
42,13.421410256410258,6.254502463054191,156,203,0.4673010387666971,0.12496727962420022,OpenBioLLM-8B,0.6112469437652811,5.038455435070087,199,0.9802955665024631,0.40407470288624786,5.162894736842109,380,1.8719211822660098,0.3865814696485623,5.611212023479329,419,2.064039408866995
43,17.1988785046729,7.476477251739212,330,439,0.6215781548422578,0.048618420747366484,OpenBioLLM-8B,0.6697038724373576,7.477781470710429,415,0.9453302961275627,0.5724815724815725,7.663428571428575,350,0.7972665148063781,0.6225490196078431,7.317413597733715,353,0.8041002277904328
